73 .004169 59,307 2,718 .002978 53,589 3,397
105 .009418 148,802 4,868 .010762 151,818 6,263
137 .019981 326,697 7,789 .017473 331,546 10,152
169 .034544 609,933 11,471 .034381 617,254 15,064
201 .056619 1,023,216 15,924 .051907 1,033,528 20,999
233 .091975 1,627,730 21,144 .077442 1,604,930 27,959
265 .131437 2,339,340 27,132 .111992 2,356,045 35,943
297 .191209 3,373,195 33,889 .155789 3,311,446 44,951
329 .260732 12,756,539 41,415 .209488 4,517,119 54,987
361 .348385 10,877,706 49,707 .276231 5,943,439 66,043
393 .469088 24,991,680 58,767 .358984 7,684,985 78,123
425 .594649 53,123,755 68,595 .453729 9,755,827 91,227
457 .772094 92,689,479 79,191 .562112 12,168,479 105,355
489 1.003933 133,473,848 90,555 .687863 14,926,000 120,507
521 1.350081 177,250,206 102,687 .829871 18,055,074 136,683
553 2.435801 211,924,658 115,587 1.154491 21,563,878 153,883
585 3.692016 248,323,421 129,255 1.342864 25,497,943 172,107
617 4.155279 293,629,197 143,691 1.483034 29,888,076 191,355
